id|directory_name|parent|tie_line|address|mail_code|phone_type|phone_number
273831|APPLIED PHYSICS AND APPLIED MATHEMATICS DEPARTMENT|600|||||
273866|APPLIED PUBLIC HEALTH, CENTER FOR  (PUBLIC HEALTH)|600|MC* 7-3616|600 W168St||OFFICE|212-305-3616
273867|ARCHAEOLOGY, CENTER FOR (CCA)|600|MS* 4-1390|961 SchrmExt|5518|OFFICE|212-854-1390
273873|ARCHITECTURAL SERVICES|600|MS* 4-6611|B230 ECampus|3407|OFFICE|212-854-6611
273877|ARCHITECTURE, PLANNING, AND PRESERVATION, GRADUATE SCHOOL OF|600|MS* 4-3414|400 Avery|0353|OFFICE|212-854-3414
273897|ARCHIVES, COLUMBIA UNIVERSITY|600|MS* 4-3786|210 Low|4316|OFFICE|212-854-3786
273907|ARMENIAN STUDIES, PROGRAM IN|600|MS* 4-2556|500B Kent|3928|OFFICE|212-854-2556
273908|ARMSTRONG FOUNDATION (E.E.)|600|MS* 4-3121|1300 SWMD|4712|OFFICE|212-854-3121
273909|ART HISTORY AND ARCHAEOLOGY DEPARTMENT|600|MS* 4-4505|826 Schrm|5517|OFFICE|212-854-4505
273928|ART HISTORY, ARCHAEOLOGY, AND HISTORIC PRESERVATION, MEDIA CENTER FOR|600|MS* 4-4606|653 SchrmExt|5518|OFFICE|212-854-4606
273947|ART PROPERTIES, OFFICE OF|600|MS* 4-2877|West Gallery, Low|4331|OFFICE|212-854-2877
273951|ARTHUR ROSS ARCHITECTURE GALLERY|600|MS* 4-3414|Buell||OFFICE|212-854-3414
273954|ARTIFICIAL ORGANS RESEARCH LAB  (CH.E.)|600|MS* 4-3007|1033 SWMD|4721|OFFICE|212-854-3007
273955|ARTS, COLUMBIA ADVOCATES FOR THE|600|MS* 4-2395|W&J WARREN 435 W116ST|4906|OFFICE|212-854-2395
273957|ARTS, COLUMBIA-VLA JOURNAL OF LAW AND THE|600|MS* 4-1607|424 W116St, Room 207 Mailing: 435 W116St;|4906|OFFICE|212-854-1607
273959|ARTS, KERNOCHAN CENTER FOR LAW, MEDIA, AND THE|600|MS* 4-7424|Mailing: 435 W116St;|4017|OFFICE|212-854-7424
273961|ARTS, SCHOOL OF THE|600|MS* 4-2875|305 Dodge|1803|OFFICE|212-854-2875
273985|ARTS EXCHANGE, CENTER FOR UNITED STATES-CHINA|600|CX* 4648|423 W118St||OFFICE|212-280-4648
273986|ASIAN AND MIDDLE EAST STUDIES, COMMITTEE ON|600|MS* 4-2569|500 Kent|3915|OFFICE|212-854-2569
273990|ASIAN AMERICAN STUDIES PROGRAM|600|MS* 4-0507|424 Hmltn,|2880|OFFICE|212-854-0507
273994|ASIAN LAW, COLUMBIA JOURNAL OF|600|MS* 4-5510|424 W116St, Room 206 Mailing: 435 W116St;|4906|OFFICE|212-854-5510
273996|ASIAN-PACIFIC AMERICAN LAW STUDENTS ASSOCIATION  (APALSA)|600|MS* 4-8352|Mailing: 435 W116St;|4906|OFFICE|212-854-8352
273997|ASTRONOMY DEPARTMENT|600|||||
274009|ASTROPHYSICS LAB, COLUMBIA  (ASTRONOMY/PHYSICS)|600|MS* 4-7815|1027 Pupin|5247|OFFICE|212-854-7815
274013|ATHLETICS|600|MS*4-2548|300 LEVEL PFCTR|1923|OFFICE|212-854-2548
274015|ATMOSPHERIC AND PLANETARY SCIENCE, INTERDEPARTMENTAL COMMITTEE  ON|600||640 ARMS|0206|OFFICE|212-678-5588
274016|AUDIOVISUAL SERVICES  (MEDICAL CENTER)|600|MC* 5-8356|PRES HOSP 20||OFFICE|212-305-8356
274028|AUDIOVISUAL SERVICES OFFICE  (MORNINGSIDE)|600||111 Math|4401|OFFICE|212-854-4176
274032|AUDIT, INTERNAL|600|||||
274040|AUDUBON BIOMEDICAL SCIENCE AND TECHNOLOGY PARK|600||3960 BWAY||OFFICE|212-851-5405
274043|BAHA' I ASSOCIATION (LAW)|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274045|BAKER FIELD FIELDHOUSE|600||218St&Bway||OFFICE|212-942-0431
274046|BANK STREET COLLEGE OF EDUCATION|600||610 W112ST (10025)||OFFICE|212-875-4400
274053|BARTENDING CLASSES  (STUDENT ENTERPRISES)|600|MS* 4-4537|ECampus|5727|OFFICE|212-854-4537
274056|BERLIN CONSORTIUM FOR GERMAN STUDIES|600|MS* 4-2559|203 Lwsn|4119|OFFICE|212-854-2559
274057|BIOCHEMISTRY AND MOLECULAR BIOPHYSICS DEPARTMENT|600|HS* 5-3882|630 W168St, Box 36||OFFICE|212-305-3882
274059|BIOLOGICAL SAFETY OFFICER|600|HS* 5-6780|601 W168St, Ste 66||OFFICE|212-305-6780
274061|BIOLOGICAL SCIENCES DEPARTMENT|600|MS* 4-4581|600 Frchld|2402|OFFICE|212-854-4581
274072|BIOMEDICAL COMMUNICATIONS/AV|600|MC* 5-8357|Pres Hosp 20||OFFICE|212-305-8357
274075|BIOMEDICAL ENGINEERING DEPARTMENT|600|MS* 4-4460|351 ENGTER|8904|OFFICE|212-854-4460
274077|BIOMEDICAL SCIENCE AND TECHNOLOGY PARK, AUDUBON|600||3960 BWAY||OFFICE|212-851-5405
274080|BIOPHYSICS, MOLECULAR|600|MC*5-3882|630 W168ST, BOX 36||OFFICE|212-305-3882
274082|BIOPHYSICS, CELLULAR, PHYSIOLOGY  AND|600||630 W168ST, BOX 22||OFFICE|212-342-4766
274106|BIOSTATISTICS DEPARTMENT  (PUBLIC HEALTH)|600|MC* 5-9398|722  W168ST 6FL||OFFICE|212-305-9398
274107|BLACK ENGINEERS, NATIONAL SOCIETY OF  (NSBE)|600||540 SWMd||OFFICE|212-854-3611
274118|BLUE CROSS/BLUE SHIELD|600|IC* 3074|||OFFICE|212-870-3074
274120|BOARD OF MANAGERS (CC)|600|MS* 4-3600|||OFFICE|212-854-3600
274124|BOATHOUSE|600||218St&Bway||OFFICE|212-569-4080
274125|BOOKSTORE, UNIVERSITY|600|MS* 4-4131|Lerner||OFFICE|212-854-4131
274128|BOTWINICK GATEWAY LAB (SEAS)|600|MS* 4-4729|1220 SWMd||OFFICE|212-854-4729
274129|BROOKHAVEN NATIONAL LABORATORY|600||Upton, NY 11973||OFFICE|516-282-2123
274130|BUDDHIST STUDIES, CENTER FOR|600|MS* 1-4149|80 CLRMTAV , RM 303|9610|OFFICE|212-851-4149
274131|BUDGET, OFFICE OF MANAGEMENT AND|600|MS* 4-3200|635 W115ST|8122|OFFICE|212-854-3200
274132|BUELL CENTER FOR THE STUDY OF AMERICAN ARCHITECTURE|600|MS* 4-8165|3fl Buell|0362|OFFICE|212-854-8165
274135|BULK MAILING CENTER, COLUMBIA UNIVERSITY  (MAIL SERVICES)|600|MS* 4-6594|106 JRNL|3841|OFFICE|212-854-6594
274137|BULLETINS, COLUMBIA UNIVERSITY|600|||||
274142|BURSAR|600|MS*4-4206|210 KENT|9204|OFFICE|212-854-4206
274144|BUS SERVICE INFORMATION|600|||||
274148|BUSINESS, GRADUATE SCHOOL OF|600|MS* 4-5553|101 Uris|9142|OFFICE|212-854-5553
274226|BUSINESS LAW REVIEW, COLUMBIA|600|MS* 4-1605|424 W116St, Room 202 Mailing: 435 W116St;|4906|OFFICE|212-854-1605
274228|BUTLER HALL|600||400 W119St|8801|OFFICE|212-851-0200
274234|CALENDAR|600|||||
274238|CALLING CARD (AT&T)|600|||||
274241|COLUMBIA CAMPUS PAGES   (STUDENT ENTERPRISES)|600|MS* 4-4537|ECampus|5727|OFFICE|212-854-4537
274242|CAMPUS SECURITY|600|MS* 4-2796|111 Low|4301|OFFICE|212-854-2796
274246|CAMPUS TOURS|600|MS* 4-4900|213 Low|4318|OFFICE|212-854-4900
274247|CANCER CENTER, HERBERT IRVING COMPREHENSIVE|600|MC* 5-9327|PH 18 - 200 Box 67||OFFICE|212-305-9327
274252|CANCER RESEARCH, INSTITUTE OF|600|MC* 5-6900|701 W168St||OFFICE|212-305-6900
274254|CAREER COUNSELING|600|MS* 4-5609|ECampus|5727|OFFICE|212-854-5609
274255|CAREER DEVELOPMENT|600|MS* 4-5498|ECampus|5727|OFFICE|212-854-5498
274256|CAREER RESOURCE LIBRARY|600|MS* 4-5609|ECampus|5727|OFFICE|212-854-5609
274261|CARLETON LAB  (CIVIL ENGINEERING)|600|MS* 4-3158|161 EngTer|4709|OFFICE|212-854-3158
274266|CAVA (COLUMBIA UNIVERSITY EMERGENCY MEDICAL SERVICES)|600|||||
274268|CCNMTL|600|MS*4-9058|204A BUTLER|1130|OFFICE|212-854-9058
274270|CELL BIOLOGY, ANATOMY  AND, DEPARTMENT|600|MC* 5-3451|630 W168ST (PH 1574)||OFFICE|212-305-3451
274274|CELLULAR BIOPHYSICS PHYSIOLOGY AND, DEPARTMENT|600|MC* 5-0270|630 W168St, Box 22||OFFICE|212-305-0270
274276|CENTER FOR ADVANCED INFORMATION MANAGEMENT (CENTER FOR ADVANCED TECHNOLOGY)|600||630 W168ST, STE 1501-PH|||
274280|CENTER FOR ALTERNATIVE/COMPLEMENTARY MEDICINE, ROSENTHAL|600||630 W168ST, BOX 75 (MAIL)||OFFICE|212-342-0101
274286|CENTER FOR ARCHAEOLOGY|600|MS*4-1390|961 SCHRM EXT|5518|OFFICE|212-854-1390
274288|CENTER FOR BIOMEDICAL COMMUNICATIONS/AV|600|MC* 6-8357|Pres Hosp 20||OFFICE|212-305-8357
274292|CENTER FOR CAREER EDUCATION  (CCE)|600|MS* 4-5609|ECAMPUS|5727|OFFICE|212-854-5609
274318|CENTER FOR CHEMICAL RESEARCH|600|MS* 4-2202|Chndl/Hvmr||OFFICE|212-854-2202
274321|CENTER FOR CLIMATE SYSTEMS RESEARCH (CCSR)|600||2880 Bway (10025)|0205||
274327|CENTER FOR CLINICAL RESEARCH, HERBERT AND  FLORENCE IRVING|600|MC* 6-2071|630 W168St (PH 10-305)||OFFICE|212-305-2071
274329|INSTITUTE FOR COMPARATIVE LITERATURE AND SOCIETY|600|MS* 4-4541|Heyman Ctr|5700|OFFICE|212-854-4541
274335|CENTER FOR CONTEMPORARY MUSIC, FRITZ REINER   (SCHOOL OF THE ARTS)|600|MS* 4-1295|602 Dodge|1824|OFFICE|212-854-1295
274336|CENTER FOR CONTINUING EDUCATION IN THE HEALTH SCIENCES|600||630 W168St, Unit 39||OFFICE|212-781-5990
274342|CENTER FOR ENERGY, MARINE TRANSPORTATION, AND  PUBLIC POLICY|600|MS* 4-0602|1114 Int.Aff|3366|OFFICE|212-854-0602
274345|CENTER FOR ENVIRONMENTAL RESEARCH AND  CONSERVATION  (CERC)|600||10FL  SCHRMEXT|5556|OFFICE|212-854-8186
274354|CENTER FOR GERIATRICS AND GERONTOLOGY|600||100 HavenAv, Tower 3-30 F||OFFICE|212-781-0630
274357|CENTER FOR INTERNATIONAL EARTH SCIENCE INFORMATION NETWORK (CIESIN)|600||Lmnt-Doh, Palisades, NY 10964||OFFICE|845-365-8988
274359|CENTER ON  INTERNATIONAL ORGANIZATION|600|MS* 4-1794|||OFFICE|212-854-1794
274362|CENTER FOR IRANIAN STUDIES|600||450 RvsdDr, Apt. 4|3946|OFFICE|212-851-5723
274368|CENTER FOR JAZZ STUDIES|600|MS* 1-1633|PRINTIS, 4 FL MAILING 602 PHILOS|4927|OFFICE|212-851-1633
274375|CENTER FOR LAW, MEDIA, AND THE ARTS, KERNOCHAN|600|MS* 4-7424|737 Greene, Box A-17|4017|OFFICE|212-854-7424
274383|CENTER FOR MENOPAUSE AND HORMONAL DISORDERS|600||16 E60St (10022)||OFFICE|212-326-8548
274385|CENTER FOR MOLECULAR RECOGNITION|600|HS* 5-3973|630 W168St (P&S 11-401)||OFFICE|212-305-3973
274389|CENTER FOR NEUROBIOLOGY AND BEHAVIOR|600||722 W168ST, KOLB ANNEX, RM 865|||
274394|CENTER FOR NEW MEDIA TEACHING AND LEARNING, COLUMBIA|600|MS*4-9058|204A BUTLER|1130|OFFICE|212-854-9058
274399|CENTER FOR PSYCHOANALYTIC TRAINING AND RESEARCH|600||1051 RvsdDr||OFFICE|212-927-5000
274403|CENTER FOR REPRODUCTIVE SCIENCES|600|MC* 5-3711|630 W168St, 16th fl||OFFICE|212-305-3711
274408|CENTER FOR THE SOCIAL SCIENCES, LAZARSFELD|600|MS* 4- 3081|820 INTAFF|3355|OFFICE|212-854-3081
274410|CENTER FOR THE STUDY OF AMERICAN ARCHITECTURE, TEMPLE HOYNE BUELL|600|MS* 4-8165|3fl Buell|0362|OFFICE|212-854-8165
274411|CENTER FOR THE STUDY OF ETHNICITY AND RACE|600|MS* 4-0507|424 Hmltn,|2880|OFFICE|212-854-0507
274413|CENTER FOR THE STUDY OF HUMAN RIGHTS|600|MS* 4-2479|1108 IntAff|3365|OFFICE|212-854-2479
274416|CENTER FOR THE STUDY OF SOCIAL WORK PRACTICE  (SSW)|600|MS* 1-2266|1255 AMSTAV, ROOM 1115|4600|OFFICE|212-851-2266
274417|CENTER FOR THE STUDY OF SOCIETY AND MEDICINE|600|MC* 5-4184|630 W168ST, P & S BOX 11||OFFICE|212-305-4184
274419|CENTER FOR THE STUDY OF SCIENCE AND RELIGION|600|MS* 1-1673|3041 BROADWAY NEW YORK, NEW YORK 10027|9601|OFFICE|212-851-1673
274424|CENTER FOR THEATRE STUDIES, HAMMERSTEIN   (SCHOOL OF THE ARTS)|600|MS* 4-3408|601 Dodge|1807|OFFICE|212-854-3408
274425|CENTER FOR TURKISH STUDIES|600|MS* 4-4766|616 Kent|3932|OFFICE|212-854-4766
274428|CENTER FOR UNITED STATES CHINA ARTS EXCHANGE|600||423 W118St||OFFICE|212-280-4648
274432|CENTER FOR WOMEN S HEALTH|600||16 E60ST STE 321  (10022)||OFFICE|212-326-8540
274437|CENTER FOR WOMEN' S REPRODUCTIVE CARE|600||1790 Bway, 2fl (10019)||OFFICE|646-756-8282
274439|CENTER OF JAPANESE CULTURE, DONALD KEENE|600|MS* 4-5036|507 Kent|3920|OFFICE|212-854-5036
274443|CENTER ON EAST CENTRAL EUROPE|600|HS* 4-4627|1227 IntAff|3336|OFFICE|212-854-4627
274448|CENTER ON WESTERN EUROPE|600|MS* 4-4627|1227 IntAff|3336|OFFICE|212-854-4627
274451|CENTRAL MAIL ROOM|600||101 SERVBLDG|5701|OFFICE|212-854-2081
274453|CHAMBER MUSIC|600||618 DODGE|1813|OFFICE|212-854-1257
274455|CHAPLAIN, UNIVERSITY CHAPLAIN S OFFICE|600||303 EARL HALL||OFFICE|212-854-1493
274458|CHARLES H. REVSON FELLOWS PROGRAM ON THE FUTURE OF THE CITY OF NEW YORK|600||||OFFICE|212-280-4023
274460|CHEMICAL ENGINEERING|600|MS* 4-4453|801 SWMD|4721|OFFICE|212-854-4453
274472|CHEMICAL ENGINEERS, AMERICAN INSTITUTE OF  (AICHE)|600|MS* 4-4453|801 SWMD|4721|OFFICE|212-854-4453
274474|CHEMISTRY DEPARTMENT|600|MS* 4-2202|344 Hvmr|3178|OFFICE|212-854-2202
274514|CHIANG CHING-KUO (CCK) FOUNDATION CENTER FOR CHINESE CULTURAL AND INSTITUTIONAL|600|MS* 4-6503|406 Kent|3907|OFFICE|212-854-6503
274516|CHILD ADVOCACY CLINIC|600|CX* 8295|1127 AmstAv, Box D-6 Law|4074|OFFICE|212-280-8295
274517|CHILDREN IN POVERTY, NATIONAL CENTER FOR  (PUBLIC HEALTH)|600||215 W125ST, 3FL||OFFICE|646-284-9600
274518|CHINESE LAW, COLUMBIA JOURNAL OF|600||||OFFICE|212-854-5510
274520|CHINESE LEGAL STUDIES, CENTER FOR|600|MS* 4-3655|624 Greene, Box A-11|4012|OFFICE|212-854-3655
274521|CHINESE STUDIES|600|MS* 4-6503|406 KENT|3907|OFFICE|212-854-6503
274523|CHRISTIAN LEGAL SOCIETY|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274525|CIESIN (CENTER FOR INTERNATIONAL EARTH SCIENCE INFORMATION NETWORK)|600||Lmnt-Doh, Palisades, NY 10964||OFFICE|845-365-8988
274527|CIGNA HEALTH CARE (POINT-OF SERVICE, MODIFIED INDEMNITY, RETIREE MEDICAL)|600||||OFFICE|212-870-3074
274529|CITIBANK ON CAMPUS|600||2ND FLOOR LERNER||OFFICE|212-663-2179
274531|CIVIL ENGINEERING AND ENGINEERING MECHANICS DEPARTMENT|600|MS* 4-3143|610 SWMd|4709|OFFICE|212-854-3143
274539|CIVIL ENGINEERS, AMERICAN SOCIETY OF   (ASCE STUDENT CHAPTER)|600|MS* 4-3143|610 SWMd|4709|OFFICE|212-854-3143
274542|CIVIL RIGHTS LAW SOCIETY (LAW)|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274546|CLASSICAL TRADITION, COLUMBIA STUDIES IN THE|600|MS* 4-3702|624 Faywr|2861|OFFICE|212-854-3702
274547|CLASSICS DEPARTMENT  (GREEK AND LATIN)|600|MS* 4-3902|617 Hmltn|2861|OFFICE|212-854-3902
274549|CLIMATE CENTER|600||Lmnt-Doh||OFFICE|845-365-8300
274550|CLIMATES, OCEANS AND, DIVISION,|600||Lmnt-Doh||OFFICE|845-365-8518
274551|CLINICAL EDUCATION|600|MS* 4-4291|8E14 Law, Box C-16|4061|OFFICE|212-854-4291
274552|CLINICAL RESEARCH, HERBERT AND FLORENCE IRVING CENTER FOR|600|MC* 5-2071|630 W168St (PH 10-305)||OFFICE|212-305-2071
274556|COALITION FOR LEGAL RECRUITMENT (COLR) (LAW)|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274558|COALITION FOR A SAFER SCHOOL AND  WORKPLACE (CSSAW)|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274560|COAST  (NY/NJ CLEAN OCEAN AND SHORE TRUST)|600|MS* 4-2910|838 SWMd|4711|OFFICE|212-854-2910
274562|COLLEGE OF PHYSICIANS AND SURGEONS|600|MC* 5-3545|630 W168St||FAX|212-305-3545
274588|COLLEGE TUITION SCHOLARSHIPS FOR OFFICERS  CHILDREN|600|IC* 3074|1901 INTERCHURCH|7705|OFFICE|212-870-3074
274590|COLOR COPYING AND PRINTING|600||||OFFICE|212-854-3233
274592|COLUMBIA, A MAGAZINE OF POETRY AND PROSE|600|MS* 4-4391|415 Dodge|1804|OFFICE|212-854-4391
274593|COLUMBIA THE MAGAZINE OF COLUMBIA UNIVERSITY|600|MS* 1-4155|964 Interchurch|7721|OFFICE|212-851-4155
274594|COLUMBIA ASTROPHYSICS LAB  (ASTRONOMY/PHYSICS)|600|MS* 4-7815|1027 Pupin|5247|OFFICE|212-854-7815
274599|COLUMBIA BUSINESS LAW REVIEW|600|MS* 4-1605|424 W116St, Room 202 Mailing: 435 W116St;|4906|OFFICE|212-854-1605
274602|COLUMBIA CENTER FOR INTEGRATED SCIENCE AND ENGINEERING (COLUMBIA RADIATION LAB)|600|MS* 4-3265|1001 SchapCtrEng|8903|OFFICE|212-854-3265
274612|COLUMBIA CENTER FOR NEW MEDIA TEACHING AND LEARNING (CCNMTL)|600||204A Butler|1130|OFFICE|212-854-9059
274624|COLUMBIA CIVIL RIGHTS LAW SOCIETY|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274626|COLUMBIA UNIVERSITY CLUB OF NEW YORK|600||15 W43St (10036)||OFFICE|212-719-0380
274627|COLUMBIA COALITION FOR LIFE|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274629|COLUMBIA COLLEGE|600|||||
274694|COLUMBIA DIGITAL KNOWLEDGE VENTURES|600||330 5THAV, 12FL (10001)|4322|OFFICE|212-851-2800
274698|COLUMBIA GREENHOUSE NURSERY SCHOOL|600||404 W116St|8850|OFFICE|212-666-4796
274700|COLUMBIA GUIDE TO NEW YORK   (STUDENT ENTERPRISES)|600|MS* 4- 2804|ECampus|5727|OFFICE|212-854-2804
274701|COLUMBIA HOUSING ASSISTANCE PROGRAM (CHAP)|600|IC* 3251|1901 Interchurch|7705|OFFICE|212-870-3251
274704|COLUMBIA HUMAN RIGHTS LAW REVIEW|600|MS* 4-1601|424 W116St, Room 106 Mailing: 435 W116St;|4906|OFFICE|212-854-1601
274710|COLUMBIA JOURNAL OF ASIAN LAW|600|MS* 4-5510|424 W116St, Room 206;  Mailing: 435 W116St|4906|OFFICE|212-854-5510
274712|COLUMBIA JOURNAL OF EAST EUROPEAN LAW|600|MS* 4-2268|424 W116St Mailing: 435W116St;|4906|OFFICE|212-854-2268
274714|COLUMBIA JOURNAL OF ENVIRONMENTAL LAW|600|MS* 4-1606|424 W116St, Room 300 Mailing: 435 W116St;|3513|OFFICE|212-854-1606
274716|COLUMBIA JOURNAL OF EUROPEAN LAW|600|MS* 4-5811|Greene Mailing: 435 W116St;|4906|OFFICE|212-854-5811
274718|COLUMBIA JOURNAL OF GENDER AND LAW|600|MS* 4-1602|424 W116St, Room 103 Mailing: 435 W116St;|4906|OFFICE|212-854-1602
274720|COLUMBIA JOURNAL OF LAW AND SOCIAL PROBLEMS|600|MS* 4-1603|424 W116St, Room 102 Mailing: 435 W116St;|4906|OFFICE|212-854-1603
274722|COLUMBIA JOURNAL OF TRANSNATIONAL LAW|600|MS* 4-1604|424 W116St, Room 201 Mailing: 435 W116St;|4906|OFFICE|212-854-1604
274728|COLUMBIA LATIN AMERICAN BUSINESS LAW ASSOCIATION (CLABLA)|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274730|COLUMBIA LAW ANIMAL WELFARE SOCIETY|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274732|COLUMBIA LAW  ALUMNI DIRECTORY|600|MS* 4- 8241|710 W&JWarren Mailing: 435 W116St, Box A-2;|4003|OFFICE|212-854-8241
274734|COLUMBIA LAW OUTDOORS ASSOCIATION|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274736|COLUMBIA LAW REPORT|600|MS* 4-2156|710 W&JWarren Mailing: 435 W116St, Box A-2;|4003|OFFICE|212-854-2156
274738|COLUMBIA LAW REVIEW|600|MS* 4-4398|WCWarren (410 W116St) Mailing: 435 W116St, Box A-2|4025|OFFICE|212-854-4398
274739|COLUMBIA LAW SCHOOL FILM SOCIETY|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274741|COLUMBIA LAW SCHOOL NEWS|600|MS* 4-5833|320B ECampus Mailing: 435 W116St;|4906|OFFICE|212-854-5833
274744|COLUMBIA LAW SOCCER CLUB|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274746|COLUMBIA LAW SCHOOL YOGA CLUB|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274748|COLUMBIA LAW SCHOOL SOCIETY FOR KARAOKE|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274750|COLUMBIA LAW SOFTBALL CLUB|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274752|COLUMBIA LAW WOMEN S ASSOCIATION|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274754|COLUMBIA LL.M. ASSOCIATION (LAW)|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274756|COLUMBIA MAGAZINE|600|MS* 1-4155|964 Interchurch|7721|OFFICE|212-851-4155
274760|COLUMBIA ORCHESTRA FOR ASIAN MUSIC|600|MS* 4-4909|401 Lerner|2602|OFFICE|212-854-4909
274762|COLUMBIA POWER LUNCH, EVERYBODY WINS|600|||||
274766|COLUMBIA PUBLISHING COURSE|600|||||
274771|COLUMBIA SCHOLASTIC PRESS ASSOCIATION|600|||||
274775|COLUMBIA SCIENCE AND TECHNOLOGY LAW REVIEW|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274777|COLUMBIA SOCIETY OF CINCINNATUS (LAW)|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274779|COLUMBIA SOCIETY OF INTERNATIONAL LAW|600|MS* 4-2395|W&JWarren|4906|OFFICE|212-854-2395
274783|COLUMBIA STUDIES IN THE CLASSICAL TRADITION|600|MS* 4-3702|624 Faywr|2861|OFFICE|212-854-3702
274788|COLUMBIA TENNIS CENTER|600||575 W218St||OFFICE|212-942-7100
