DirectorySeqnum;DirectoryName;Parent;TieLine;Address;MailCode;PhoneType;PhoneNumber
273843;MATERIALS ANALYSIS LAB;273841;MS* 4-4286;1112 SWMd;4701;OFFICE;212-854-4286
273844;LASER CRYSTALLIZATION LAB;273841;MS* 4-1719;1109 SWMd;4701;OFFICE;212-854-1719
273845;MAGNETIC THIN FILM DEPOSITION LAB;273841;MS* 4-2623;1135 SWMd;4701;OFFICE;212-854-2623
273846;MATERIALS SYNTHESIS LAB;273841;MS* 4-9477;1141 SWMd;4701;OFFICE;212-854-9477
273847;LUMINESCENCE AND ELECTRICAL MEASUREMENTS LAB;273841;MS* 4-1580;1147 SWMd;4701;OFFICE;212-854-1580
273849;PHONE;273848;MS* 4-4457;;;OFFICE;212-854-4457
273853;CTX LABORATORY;273852;MS* 4-4839;284/5 EngTer;4701;OFFICE;212-854-4839
273854;ELECTRICAL TECHNICAL AREA;273852;MS* 4-2971;102A SWMd;4701;OFFICE;212-854-2971
273855;MACHINE SHOP;273852;MS* 4-3464;127C SWMd;4701;OFFICE;212-854-3464
273856;MECHANICAL TECHNICAL AREA;273852;MS* 4-2974;102A SWMd;4701;OFFICE;212-854-2974
273857;MIRROR MACHINE/FEL AREA;273852;MS* 4-6674;102A SWMd;4701;OFFICE;212-854-6674
273859;LASER DIAGNOSTICS AND SOLID STATE PHYSICS LAB;273858;MS* 4-6666;9LE4, 9LE5 SchapCtrEng;4701;OFFICE;212-854-6666
273860;SEMICONDUCTOR LAB;273858;MS* 4-8514;9LW1, 9LW2 SchapCtrEng;4701;OFFICE;212-854-8514
273861;SPECTROSCOPY LAB;273858;MS* 4-9042;9LW3, 9LW4 SchapCtrEng;4701;OFFICE;212-854-9042
273863;Applied Physics;273862;MS* 4-3464;127C SWMd;4701;OFFICE;212-854-3464
273864;Materials Science and Engineering;273862;MS* 4-0650;171 ENGTER;4701;OFFICE;212-854-0650
273865;Medical Pysics;273862;MS* 4-6661;173 EngTer;4701;OFFICE;212-854-6661
273887;DIRECTOR;273886;MS* 4-3973;655-57 SchrmExt;0366;OFFICE;212-854-3973
273888;LAB;273886;MS* 4-8712;655-57 SchrmExt;0366;OFFICE;212-854-8712
273890;FAX;273889;MS* 4-7778;;;FAX;212-854-7778
273969;FAX;273968;MS* 4-7702;;;FAX;212-854-7702
273971;FAX;273970;MS* 4-7708;;;FAX;212-854-7708
273974;FAX;273973;MS* 4-3344;;;FAX;212-854-3344
273975;HORACE MANN THEATRE;273973;;120St&Bway;;OFFICE;212-678-3490
273977;FAX;273976;MS* 4-7708;;;FAX;212-854-7708
273978;WELDING STUDIO;273976;CX* 2014;301 PRNTIS;;OFFICE;212-280-2014
273980;FAX;273979;MS* 4-7704;;;FAX;212-854-7704
274005;1410 PUPIN;274004;MS* 4-6865;;5246;OFFICE;212-854-6865
274006;1411 PUPIN;274004;MS* 4-8927;;5246;OFFICE;212-854-8927
274007;1414 PUPIN;274004;MS* 4-6888;;5246;OFFICE;212-854-6888
274008;1333 PUPIN;274004;MS* 4-6864;;5246;OFFICE;212-854-6864
274025;PRES HOSP 20;274024;MC*  5-7716;;;OFFICE;212-305-7716
274034;FAX;274033;;;;FAX;212-851-5779
274037;FAX;274035;;;;FAX;212-342-4786
274049;WWW.BANKSTREETBOOKS.COM;274048;;;;;
274141;FAX;274140;MS* 4-9534;;;FAX;212-854-9534
274158;FAX;274157;;;;FAX;212-265-2477
274160;FAX;274159;;;;FAX;212-316-1473
274168;FAX;274167;;;;FAX;212-678-6958
274170;FAX;274169;;;;FAX;212-222-9821
274172;office;274171;MS* 4-4239;;;OFFICE;212-854-4239
274174;FAX;274171;;;;FAX;212-932-7816
274177;FAX;274176;;;;FAX;212-280-4530
274178;206 W&JWARREN;274176;MS* 4-6445;;;OFFICE;212-854-6445
274180;FAX;274179;;;;FAX;212-932-0545
274182;FAX;274181;;;;FAX;212-678-0825
274184;FAX;274183;;;;FAX;212-265-2477
274186;FAX;274185;;;;FAX;212-316-9355
274188;FAX;274187;;;;FAX;212-316-1473
274190;FAX;274189;;;;FAX;212-854-8998
274192;FAX;274191;;;;FAX;212-222-0390
274193;STUDENT COUNSELING;274191;MS* 4-4404;206 Uris;9148;OFFICE;212-854-4404
274196;FAX;274195;;;;FAX;212-678-1958
274199;FAX;274198;MS* 4-3050;;;FAX;212-854-3050
274201;FAX;274200;;;;FAX;212-932-2224
274204;FAX;274203;;;;FAX;212-316-1473
274206;FAX;274205;MS* 4-5723;;;FAX;212-854-5723
274208;FAX;274207;;;;FAX;212-864-4857
274209;203 W&JWARREN;274207;MS* 4-7020;;;OFFICE;212-854-7020
274211;FAX;274210;MS* 4-4857;;;FAX;212-854-4857
274215;FAX;274212;MS* 4-3050;;;FAX;212-854-3050
274217;FAX;274216;MS* 4-3050;;;FAX;212-854-3050
274219;FAX;274218;;;;FAX;212-678-0171
274221;FAX;274220;MS* 4-2384;;;FAX;212-854-2384
274237;FAX;274236;;;;FAX;212-678-4817
274244;MORNINGSIDE CAMPUS  99 OR;274243;MS* 4-5555;;;OFFICE;212-854-5555
274245;MEDICAL CENTER;274243;MC* 5-7979;;;OFFICE;212-305-7979
274306;Credentials/Dossier;274305;MS* 4-9464;;;OFFICE;212-854-9464
274309;FAX;274308;MS* 4-5640;;;FAX;212-854-5640
274311;part-time, internships, work-study;274310;;;;;
274464;OFFICE;274463;MS* 4-3007;;;OFFICE;212-854-3007
274467;PHONE;274466;MS* 4-4546;;;OFFICE;212-854-4546
274486;GRADUATE PROGRAMS;274484;MS* 4-2433;344 Hvmr;3176;OFFICE;212-854-2433
274487;ADMINISTTRATIVE  MANAGER;274484;MS* 4-2204;;3169;OFFICE;212-854-2204
274498;3FL CHDL;274496;MS* 4-5356;;;OFFICE;212-854-5356
274499;5FL CHDL;274496;MS* 4-2168;;;OFFICE;212-854-2168
274504;1FL HVM;274503;MS* 4-3553;;;OFFICE;212-854-3553
274505;2FL HVM;274503;MS* 4-7649;;;OFFICE;212-854-7649
274507;2FL HVM ADDN;274503;;;;;
274508;3FL HVM ADDN  (GENERAL CHEMISTRY LABORATORY);274503;MS* 7-5167;;;OFFICE;212-857-5167
274509;4FL HVM ADDN;274503;MS* 4-8137;;;OFFICE;212-854-8137
274510;5FL HVM ADDN;274503;MS* 4-4686;;;OFFICE;212-854-4686
274511;6FL HVM ADDN;274503;MS* 4-2094;;;OFFICE;212-854-2094
274534;FAX;274533;MS* 4-4084;;;FAX;212-854-4084
274605;FAX;274604;MS* 4-1909;;;FAX;212-854-1909
274607;FAX;274606;MS* 4-1909;;;FAX;212-854-1909
274609;FAX;274608;MS* 4-1909;;;FAX;212-854-1909
274611;FAX;274610;MS* 4-1909;;;FAX;212-854-1909
274633;FAX;274632;IC* 2747;;;FAX;212-870-2747
274635;FAX;274634;MS* 4-9093;;;FAX;212-854-9093
274637;FAX;274636;MS* 4-5640;;;FAX;212-854-5640
274640;FIRST-YEAR SOPHOMORE ACADEMIC ADVISING CENTER;274639;MS* 4-6378;403 LERNER HALL;1201;OFFICE;212-854-6378
274644;JUNIOR CLASS CENTER;274639;MS* 4-1870;1fl Schap;8001;OFFICE;212-854-1870
274646;SENIOR CLASS CENTER;274639;MS* 4-8711;103 BwayRes;9401;OFFICE;212-854-8711
274650;n/a;274649;;;;;
274652;FAX;274651;MS* 4-3236;;;FAX;212-854-3236
274655;FAX;274654;MS* 4-7984;;;FAX;212-854-7984
274657;FAX;274656;MS* 4-7457;;;FAX;212-854-7457
274661;FAX;274660;MS* 4-3236;;;FAX;212-854-3236
274663;INFORMATION;274662;MS* 4-6245;;;OFFICE;212-854-6245
274664;FAX;274662;MS* 4-6120;;;FAX;212-854-6120
274666;FAX;274665;MS* 4-3110;;;FAX;212-854-3110
274668;FAX;274667;MS* 4-9801;;;FAX;212-854-9801
274670;FAX;274669;MS* 4-0012;;;FAX;212-854-0012
274672;FAX;274671;MS* 4-9801;;;FAX;212-854-9801
274676;FAX;274675;MS* 4-2458;;;FAX;212-854-2458
274678;FAX;274677;MS* 4-9093;;;FAX;212-854-9093
274680;FAX;274679;MS* 4- 0042;;;FAX;212-854-0042
274684;FAX;274683;MS* 4-6815;;;FAX;212-854-6815
274726;BUSINESS OFFICE;274725;MS* 4-2716;207 Jrnl;3871;OFFICE;212-854-2716
274727;EDITORIAL OFFICE;274725;MS* 4-1881;207 Jrnl;3874;OFFICE;212-854-1881
274816;FAX;274815;;;;FAX;212-678-4817
274854;GENERAL EDUCATIONAL DEVELOPMENT PROGRAM (GED);274852;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274856;BARNARD/COLUMBIA HELP FOR THE HOMELESS  AND THE JEWISH OFFICE PROJECT FOR THE HO;274855;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274857;COMMUNITY LUNCH;274855;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274858;EMERGENCY FOOD PANTRY AND THE CLOTHES CLOSET;274855;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274860;HEALTH EDUCATION ADVOCACY LEAGUE (H.E.A.L.);274855;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274862;BARNARD/COLUMBIA EARTH COALITION;274861;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274863;PEACE BY PEACE;274861;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274864;STUDENT HEALTH OUTREACH PROJECT FOR CHILDREN (SHOUT);274861;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274867;STUDENT HELP FOR THE AGING;274865;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274869;AFTERHOURS TUTORING;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274870;AMERICA READS;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274871;ASIAN YOUTH PROGRAM;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274872;LET'S GET READY;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274873;BARNARD/COLUMBIA MENTOR PROGRAM;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274874;BIG BROTHER/BIG SISTER PROGRAM;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274875;COMMUNITY YOUTH PROGRAM;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274877;HARLEM RESTORATION PROJECT CHILD CARE;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274878;MENTOR HIGH SCHOOL EXTENSION;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274879;ONE-TO-ONE TUTORING;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274880;P.S. 165 TUTORING;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274881;TLC PLAY GROUP;274868;MS* 4-1492;105 Earl;2010;OFFICE;212-854-1492
274939;FAX;274938;;;;FAX;212-932-7651
274942;FAX;274941;MS* 4-7400;;;FAX;212-854-7400
274948;FAX;274947;MS* 4-5861;;;FAX;212-854-5861
274953;FAX;274952;MS* 4-7400;;;FAX;212-854-7400
274955;FAX;274954;MS* 4-7400;;;FAX;212-854-7400
274957;FAX;274956;MS* 4-5861;;;FAX;212-854-5861
274959;DIRECTOR;274958;MS* 4-3771;303 Lwsn;4110;OFFICE;212-854-3771
274960;FAX;274958;MS* 4-5861;;;FAX;212-854-5861
275018;FAX;275017;MC* 5-7134;;;FAX;212-305-7134
275025;FAX;275024;MC* 5-4571;;;FAX;212-305-4571
275027;FAX;275026;MC* 5-0067;;;FAX;212-305-0067
275032;FACULTY PRACTICE LOCATIONS;275031;MC* 3-8465;16 E60St, Ste 300 (10022);;OFFICE;212-326-8465
275034;FAX;275033;MC*5-2840;;;FAX;212-305-2840
275036;FAX;275035;MC* 5-0286;;;FAX;212-305-0286
275038;FAX;275037;MC* 6-7391;;;FAX;212-305-7391
275040;FAX;275039;;;;FAX;212-927-9704
275054;FAX;275053;IC* 2747;;;FAX;212-870-2747
275057;FAX;275056;IC* 2924;964 INTERCHURCH;7722;FAX;212-870-2924
275059;SCHOOLS, CENTERS, AND INSTITUTES;275056;IC* 2412;964 INTERCHURCH;7720;OFFICE;212-870-2412
275062;FAX;275061;MS*4-9560;;;FAX;212-854-9560
275065;FAX;275064;MS* 4-7801;;;FAX;212-854-7801
275080;FAX;275079;MS* 4-9534;;;FAX;212-854-9534
275108;FAX;275107;MS* 4- 5899;;;FAX;212-854-5899
275110;FAX;275109;MS* 4-6577;;;FAX;212-854-6577
275111;WEDDINGS;275109;MS* 4-1487;110 Chapl;2008;OFFICE;212-854-1487
275112;MEMORIAL SERVICES;275109;MS* 4-1487;110 Chapl;2008;OFFICE;212-854-1487
275116;CATHOLIC;275115;MS* 4-5110;110 Earl;2005;OFFICE;212-854-5110
275117;EPISCOPAL;275115;MS* 4-1515;101 Earl;2016;OFFICE;212-854-1515
275118;INTERVARSITY CHRISTIAN FELLOWSHIP;275115;;;2018;OFFICE;212-222-8130
275120;MUSLIM;275115;MS* 4-1517;102 EARL;2019;OFFICE;212-854-1517
275121;UNITARIAN;275115;MS* 4-1537;108 EARL;2012;OFFICE;212-854-1537
275123;GENERAL INFORMATION;275122;MS* 4-4194;204 EARL;;OFFICE;212-854-4194
275124;FAX;275122;MS* 4-7451;;;FAX;212-854-7451
275132;106 GEOSCIENCE BLDG, LMNT-DOH;275131;;;;OFFICE;845-365-8550
275133;556/7  SCHRMHEX;275131;MS* 4-5029;;5505;OFFICE;212-854-5029
275134;PHONE;275131;MS* 4-4525;;;OFFICE;212-854-4525
275153;PHONE;275152;MS* 4-2574;;;OFFICE;212-854-2574
275156;FAX;275155;;;;FAX;212-678-8629
275160;PHONE;275159;MS* 4-5027;;;OFFICE;212-854-5027
275163;FAX;275162;MS* 4-4019;;;FAX;212-854-4019
275166;FAX;275165;MS* 4-1470;;;FAX;212-854-1470
275180;SECRETARY;275179;MS* 4-3682;;;OFFICE;212-854-3682
275193;FAX;275192;;;;FAX;212-932-9421
275194;www.ee.columbia.edu;275192;;;;;
275195;ACADEMIC AFFAIRS;275192;MS* 4-3104;1312 SWMd;4712;OFFICE;212-854-3104
275196;BUSINESS OFFICE;275192;MS* 4-1745;1312 SWMd;4712;OFFICE;212-854-1745
275197;COMPUTER SYSTEMS ADMINISTRATION;275192;MS* 4-6020;803 SchapCtrEng;4712;OFFICE;212-854-6020
275198;UNDERGRADUATE LAB MANAGER;275192;MS* 4-2427;1208 SWMd;4712;OFFICE;212-854-2427
275201;ADMINISTRATION OFFICE;275200;MS* 4-3265;1001 SchapCtrEng;8903;OFFICE;212-854-3265
275202;FAX;275200;MS* 4-1909;;;FAX;212-854-1909
275204;DEVICE MEASUREMENT LAB;275203;MS* 4-3107;1230 SWMd;4712;OFFICE;212-854-3107
275205;DIGITAL VLSI LAB;275203;MS* 4-8478;422B SchapCtrEng;4712;OFFICE;212-854-8478
275206;IMAGE AND ADVANCED TECHNOLOGY LAB (ADVENT);275203;MS* 4-1734;7LE1 SchapCtrEng;4712;OFFICE;212-854-1734
275209;MAGNETIC SENSOR LAB;275203;MS* 4-5072;1011 SchapCtrEng;4712;OFFICE;212-854-5072
275210;MBE LAB;275203;MS* 4-3918;8LW5 SchapCtrEng;4712;OFFICE;212-854-3918
275213;MICROELECTRONIC CIRCUITS AND SYSTEMS LAB;275203;MS* 4-4685;422C SchapCtrEng;4712;OFFICE;212-854-4685
275214;MICROELECTRONICS SCIENCES LAB;275203;MS* 4-8449;1327 SWMd;4712;OFFICE;212-854-8449
275217;MULTIMEDIA NETWORKING LAB  (COMET);275203;MS* 4-5619;8LE1 SchapCtrEng;4712;OFFICE;212-854-5619
275220;PLASMA LAB;275203;MS* 4- 6674;102 SWMd;4712;OFFICE;212-854-6674
275221;SCANNING ELECTRON MICROSCOPE LAB;275203;MS* 4-6599;1341 SWMd;4712;OFFICE;212-854-6599
275222;SURFACE ANALYSIS LAB;275203;MS* 4-6477;1339 SWMd;4712;OFFICE;212-854-6477
275223;SYSTEMS LAB;275203;MS* 4- 8989;7LE4 SchapCtrEng;4712;OFFICE;212-854-8989
275227;Circuits And Electronics Labs;275226;MS* 4- 2427;1227 SWMd;4712;OFFICE;212-854-2427
275228;Computer Hardware Design Lab;275226;MS* 4-2427;1211 SWMD;4712;OFFICE;212-854-2427
275229;E. E. Student Projects Lab;275226;MS* 5607;1212 SWMD;4712;OFFICE;212-854-5607
275230;Embedded Systems Lab;275226;MS* 2427;1235 SWMd;4712;OFFICE;212-854-2427
275231;VLSI  Design Lab;275226;MS* 4-2427;1218  SWMD;4712;OFFICE;212-854-2427
275232;Introduction to E. E. Lab;275226;MS* 4-2427;1206 SWMD;4712;OFFICE;212-854-2427
275278;FIRST-YEAR CLASS CENTER;275277;MS* 4-6378;101 Crman;1201;OFFICE;212-854-6378
275280;SOPHOMORE CLASS CENTER;275277;MS* 4-5130;103 Frnld;3705;OFFICE;212-854-5130
275282;JUNIOR CLASS CENTER;275277;MS* 4-1870;1fl Schap;8001;OFFICE;212-854-1870
275284;SENIOR CLASS CENTER;275277;MS* 4-8711;103 BwayRes;2701;OFFICE;212-854-8711
275287;FAX;275286;MS* 4-2325;;;FAX;212-854-2325
275304;FAX;275303;MS* 4-5900;;;FAX;212-854-5900
275318;FAX;275317;MS* 4-2458;;;FAX;212-854-2458
275320;PHONE;275319;MS* 4-3611;;;OFFICE;212-854-3611
275321;PHONE;275319;MS* 4-5808;;;OFFICE;212-854-5808
275322;FAX;275319;MS* 4-6972;;;FAX;212-854-6972
275326;FAX;275325;MS* 4-8723;;;FAX;212-854-8723
275328;FAX;275327;MS* 4-6815;;;FAX;212-854-6815
275331;UNDERGRADUATE;275330;MS* 4-2446;403 Lerner;2607;OFFICE;212-854-2446
275333;GRADUATE;275330;MS* 4-6438;524 SWMd;4708;OFFICE;212-854-6438
275356;PHONE;275355;MS* 4-4443;;;OFFICE;212-854-4443
275363;KC298@COLUMBIA.EDU;275362;;;;;
275365;MA102@COLUMBIA.EDU;275364;;;;;
275367;PR18@COLUMBIA.EDU;275366;;;;;
275370;JF673@COLUMBIA.EDU;275369;;;;;
275372;DO2115@COLUMBIA.EDU;275371;;;;;
275373;CP2175@COLUMBIA.EDU;275371;;;;;
275374;SB2412@COLUMBIA.EDU;275371;;;;;
275424;FAX;275423;MS* 4-8951;;;FAX;212-854-8951
275429;ASSISTANT VICE PRESIDENT S OFFICE;275428;MS* 4-7426;B230 ECampus;3407;OFFICE;212-854-7426
275432;CONSTRUCTION COORDINATOR;275428;MS* 4-2595;;;;
275596;FAX;275595;MS* 4-5353;;;FAX;212-854-5353
275601;FAX;275600;MS* 5-5353;;;FAX;212-854-5353
275604;FAX;275603;MS* 4-2863;;;FAX;212-854-2863
275607;FAX;275605;MC* 5-3079;;;FAX;212-305-3079
275608;NUTRITION@.COLUMBIA.EDU;275605;;;;;
275625;JI2709@COLUMBIA.EDU;275624;;;;;
275701;FAX;275700;MS* 4-6316;;;FAX;212-854-6316
275703;FAX;275702;MS* 4-6 970;;;FAX;212-854-6970
275705;FAX;275704;MS* 4-6970;;;FAX;212-854-6970
275709;ACADEMIC AFFAIRS;275707;MS* 4- 1946;408 Lwsn;4103;FAX;212-854-1946
275710;FACULTY;275707;MS* 4-1946;408 Lwsn;4103;FAX;212-854-1946
275714;Arts and Sciences;275713;IC* 2782;964 INTERCHURCH;7718;OFFICE;212-870-2782
275715;FAX;275713;IC*  2352;964 INTERCHURCH;7724;FAX;212-870-2352
275725;FAX;275724;MS* 4-7257;;;FAX;212-854-7257
275744;PHONE;275743;MS* 4-7859;;2820;OFFICE;212-854-7859
275747;PHONE;275746;MS* 4-4015;;2820;OFFICE;212-854-4015
275750;PHONE;275749;MS* 4-9608;;2819;OFFICE;212-854-9608
275776;PHONE;275775;MS* 4-2854;;;OFFICE;212-854-2854
275784;FAX;275783;MS* 4-9560;;;FAX;212-854-9560
275787;FAX;275786;MS* 4-1553;;;FAX;212-854-1553
275825;FAX;275824;;;;FAX;212-939-8300
275827;FAX;275826;;;;FAX;212-939-1377
275828;ADMINISTRATIVE SERVICES;275826;;;;OFFICE;212-939-1380
275829;FINANCIAL SERVICES;275826;;;;OFFICE;212-939-1381
275831;GRANTS, OFFICE OF PROJECTS AND;275826;;;;OFFICE;939-4165
275832;HUMAN RESOURCES;275826;;;;OFFICE;212-939-1720
275834;PAYROLL;275826;;;;OFFICE;212-939-1382
275835;PROFESSIONAL SERVICES;275826;;;;OFFICE;212-939-1378
275837;ANESTHESIOLOGY;275836;;;;OFFICE;212-939-3555
275838;EMERGENCY MEDICINE;275836;;;;OFFICE;939-2250
275839;MEDICAL LIBRARY;275836;;;;OFFICE;939-1685
275840;MEDICINE;275836;;;;OFFICE;212-939-1677
275841;NEUROLOGY;275836;;;;OFFICE;212-939-4247
275842;OBSTETRICS AND GYNECOLOGY;275836;;;;OFFICE;939-4336
275843;OPHTHALMOLOGY;275836;;;;OFFICE;212-939-3526
275844;ORTHOPEDICS;275836;;;;OFFICE;212-939-4247
275845;PATHOLOGY;275836;;;;OFFICE;212-939-3627
275846;PEDIATRICS;275836;;;;OFFICE;212-939-3526
275847;PSYCHIATRY;275836;;136St&5Av;;OFFICE;212-939-1677
275848;RADIOLOGY;275836;;;;OFFICE;212-939-4901
275849;REHABILITATION MEDICINE;275836;;;;OFFICE;212-939-4401
275850;SOCIAL SERVICE;275836;;;;OFFICE;212-939-4600
275851;SURGERY;275836;;;;OFFICE;212-939-3533
275879;CUSTODIAL SERVICE AND LOCKSMITH;275878;;;;;
275882;MAINTENANCE SERVICES;275878;;;;;
275883;24-HOUR EMERGENCY SERVICE;275878;HS* 5-3753;;;OFFICE;212-305-3753
275898;PHONE;275897;MS* 4-2905;;;OFFICE;212-854-2905
275901;PHONE;275900;MS* 4-2905;;;OFFICE;212-854-2905
275947;FAX;275946;;;;FAX;212-781-0667
275953;FAX;275952;MS* 1-7022;;;FAX;212-851-7022
275957;FAX;275955;MS* 1-7025;;;FAX;212-851-7025
275959;FAX;275958;IC*  2810;;;FAX;212-870-2810
275978;Fax;275977;MC* 7- 5728;;;FAX;212-305-5728
275984;FAX;275983;IC* 2307;;;FAX;212-870-2307
276038;FAX;276037;MS* 4-8103;;;FAX;212-854-8103
276039;CAP@COLUMBIA.EDU;276037;;;;;
276041;FAX;276040;MS* 4-8103;;;FAX;212-854-8103
276064;FAX;276063;IC* 1822;;;FAX;212-851-1822
276065;LMALTZ@COLUMBIA.EDU;276063;;;;;
276088;FAX;276087;MS* 4-8925;;;FAX;212-854-8925
276130;FAX;276129;;;;FAX;212-851-5779
276132;FAX;276131;;;;FAX;212-342-4786
276146;RESERVATIONS;276145;MS* 4-2821;;;OFFICE;212-854-2821
276147;KELLOGG@COLUMBIA.EDU;276145;;;;;
276149;AFRICAN STUDIES, INSTITUTE OF;276148;MS* 4-4633;1103 IntAff;3331;OFFICE;212-854-4633
276151;EUROPE, INSTITUTE FOR THE STUDY OF;276148;MS* 4-4618;1227 IntAff;3337;OFFICE;212-854-4618
276152;HARRIMAN INSTITUTE;276148;MS* 4-4623;1212 IntAff;3345;OFFICE;212-854-4623
276153;LATIN AMERICAN STUDIES, INSTITUTE OF;276148;MS* 4-4643;834 IntAff;3339;OFFICE;212-854-4643
276154;MIDDLE EAST INSTITUTE;276148;MS* 4-2584;1112 IntAff;3340;OFFICE;212-854-2584
276155;RUSSIAN INSTITUTE (SEE HARRIMAN INSTITUTE);276148;MS* 4-4623;1212 INTAFF;3345;OFFICE;212-854-4623
276157;SOCIAL AND ECONOMIC RESEARCH AND POLICY, INSTITUTE FOR;276148;MS* 4-3081;814 IntAff;3355;OFFICE;212-854-3081
276158;SOUTHERN ASIAN INSTITUTE;276148;MS* 4-3616;1128A IntAff;3334;OFFICE;212-854-3616
276159;WAR AND PEACE STUDIES, SALTZMAN  INSTITUTE OF;276148;MS* 4-4616;1327 INTAFF;3347;OFFICE;212-854-4616
276162;FAX;276161;MS* 4-5765;;;FAX;212-854-5765
276166;PHONE;276165;MS* 4-4602;;;OFFICE;212-854-4602
276169;MANAGER;276168;MS* 4-2821;;;OFFICE;212-854-2821
276170;KELLOGG@COLUMBIA.EDU;276168;;;;;
276174;FAX;276173;MS* 4-5765;;;FAX;212-854-5765
276176;FAX;276175;MS* 4-8925;;;FAX;212-854-8925
276178;FAX;276177;;;;FAX;212-864-4847
276182;FAX;276181;MS* 4-4413;;;FAX;212-854-4413
276289;Business Office;276288;MS* 4-7194;101F JRNL;3871;OFFICE;212-854-7194
276290;Editorial Office;276288;MS* 4-1881;207 Jrnl;3874;OFFICE;212-854-1881
276299;Fax;276298;MS* 4-3148;;;FAX;212-854-3148
